base_name,wear,category,uu_keyword
"Sport Gloves | Hedge Maze",ft,normal,树篱迷宫
"Moto Gloves | Turtle",ft,normal,玳瑁
"Sport Gloves | Nocts",ft,normal,夜行衣
"Sport Gloves | Vice",ft,normal,迈阿密风云
"Sport Gloves | Superconductor",ft,normal,超导体
"Sport Gloves | Omega",ft,normal,欧米伽
"Sport Gloves | Amphibious",ft,normal,双栖
"Sport Gloves | Slingshot",ft,normal,弹弓
"Sport Gloves | Scarlet Shamagh",ft,normal,猩红头巾
"Moto Gloves | Finish Line",ft,normal,终点线
"Moto Gloves | Spearmint",ft,normal,薄荷
"Specialist Gloves | Tiger Strike",ft,normal,老虎精英
"Specialist Gloves | Buckshot",ft,normal,狩鹿
"Sport Gloves | Pandora's Box",ft,normal,潘多拉之盒
"Sport Gloves | Big Game",ft,normal,大型猎物
"Specialist Gloves | Lt. Commander",ft,normal,陆军少尉长官
"Driver Gloves | Black Tie",ft,normal,西装革履
"Moto Gloves | Transport",ft,normal,交运
"Specialist Gloves | Field Agent",ft,normal,一线特工
"Specialist Gloves | Fade",ft,normal,渐变之色
"Specialist Gloves | Marble Fade",ft,normal,渐变大理石
"Hydra Gloves | Emerald",ft,normal,翡翠色调
"Specialist Gloves | Crimson Web",ft,normal,深红之网
"Specialist Gloves | Emerald Web",ft,normal,翠绿之网
"Specialist Gloves | Mogul",ft,normal,大腕
"Driver Gloves | Snow Leopard",ft,normal,雪豹
"Moto Gloves | Smoke Out",ft,normal,小心烟雾弹
"Moto Gloves | Boom!",ft,normal,嘭
"Hand Wraps | Overprint",ft,normal,套印
"Driver Gloves | Rezan the Red",ft,normal,绯红列赞
"Specialist Gloves | Crimson Kimono",ft,normal,深红和服
"Moto Gloves | 3rd Commando Company",ft,normal,第三特种兵连
"Sport Gloves | Bronze Morph",ft,normal,青铜形态
"Driver Gloves | King Snake",ft,normal,王蛇
"Moto Gloves | Polygon",ft,normal,多边形
"Driver Gloves | Racing Green",ft,normal,墨绿色调
"Specialist Gloves | Foundation",ft,normal,元勋
"Moto Gloves | Blood Pressure",ft,normal,血压
"Hydra Gloves | Mangrove",ft,normal,红树林
"Hydra Gloves | Case Hardened",ft,normal,表面淬火
"Driver Gloves | Queen Jaguar",ft,normal,美洲豹女王
"Driver Gloves | Imperial Plaid",ft,normal,蓝紫格子
"Moto Gloves | Cool Mint",ft,normal,清凉薄荷
"Hydra Gloves | Rattler",ft,normal,响尾蛇
"Sport Gloves | Arid",ft,normal,干旱
"Driver Gloves | Overtake",ft,normal,超越
"Driver Gloves | Crimson Weave",ft,normal,深红织物
"Driver Gloves | Diamondback",ft,normal,菱背蛇纹
"Specialist Gloves | Forest DDPAT",ft,normal,森林 DDPAT
"Driver Gloves | Convoy",ft,normal,护卫
"Bloodhound Gloves | Charred",ft,normal,焦炭
"Driver Gloves | Lunar Weave",ft,normal,月色织物
"Moto Gloves | Eclipse",ft,normal,日蚀
"Bloodhound Gloves | Bronzed",ft,normal,染铜
"Bloodhound Gloves | Snakebite",ft,normal,蛇咬
"Bloodhound Gloves | Guerrilla",ft,normal,游击队
"Hand Wraps | Duct Tape",ft,normal,防水布胶带
"Hand Wraps | Giraffe",ft,normal,长颈鹿
"Hand Wraps | CAUTION!",ft,normal,警告
"Hand Wraps | Arboreal",ft,normal,森林色调
"Hand Wraps | Cobalt Skulls",ft,normal,钴蓝骷髅
"Hand Wraps | Constrictor",ft,normal,蟒蛇
"Hand Wraps | Desert Shamagh",ft,normal,沙漠头巾
"Hand Wraps | Spruce DDPAT",ft,normal,云杉 DDPAT
"Hand Wraps | Leather",ft,normal,皮革
"Hand Wraps | Slaughter",ft,normal,屠夫
"Hand Wraps | Badlands",ft,normal,恶土
"AWP | Neo-Noir",ft,normal,黑色魅影
"AK-47 | Point Disarray",fn,normal,混沌点阵
"M4A1-S | Cyrex",ft,normal,次时代
"AK-47 | Point Disarray",ft,normal,混沌点阵
"M4A1-S | Nightmare",mw,normal,梦魇
"AK-47 | Aquamarine Revenge",ft,normal,深海复仇
"AK-47 | Neon Revolution",ft,normal,霓虹革命
"AK-47 | The Empress",ft,normal,皇后
"AK-47 | Neon Rider",ft,normal,霓虹骑士
